,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
5536,,,,,,,,,,,,,,,,,,,GTEX-14DAQ-2226-SM-5YYAD,,,,,,,,,,,,
5785,,,,,,,,,,,,,,,,,,,GTEX-14JG6-0626-SM-68716,,,,,,,,,,,,
6071,,,,,,,,,,,,,,,,,,,GTEX-14PJM-2426-SM-686ZC,,,,,,,,,,,,
6159,,,,,,,,,,,,,,,,,,,GTEX-14PKU-1226-SM-686ZM,,,,,,,,,,,,
6173,,,,,,,,,,,,,,,,,,,GTEX-14PKV-1226-SM-6871T,,,,,,,,,,,,
6196,,,,,,,,,,,,,,,,,,,GTEX-14PN3-1526-SM-6ETZM,,,,,,,,,,,,
6477,,,,,,,,,,,,,,,,,,,GTEX-15DDE-2326-SM-6AJA8,,,,,,,,,,,,
6511,,,,,,,,,,,,,,,,,,,GTEX-15DYW-2626-SM-6LPK7,,,,,,,,,,,,
6564,,,,,,,,,,,,,,,,,,,GTEX-15EOM-1526-SM-68723,,,,,,,,,,,,
6613,,,,,,,,,,,,,,,,,,,GTEX-15ER7-2326-SM-7KUN3,,,,,,,,,,,,
6677,,,,,,,,,,,,,,,,,,,GTEX-15FZZ-0826-SM-6LLJO,,,,,,,,,,,,
6842,,,,,,,,,,,,,,,,,,,GTEX-15SDE-0926-SM-6LPIA,,,,,,,,,,,,
6964,,,,,,,,,,,,,,,,,,,GTEX-15UF6-2026-SM-6LPI3,,,,,,,,,,,,
7107,,,,,,,,,,,,,,,,,,,GTEX-16MT8-2226-SM-6LPK2,,,,,,,,,,,,
7157,,,,,,,,,,,,,,,,,,,GTEX-16NGA-0426-SM-7LG6K,,,,,,,,,,,,
7719,,,,,,,,,,,,,,,,,,,GTEX-17JCI-2326-SM-7IGPC,,,,,,,,,,,,
7844,,,,,,,,,,,,,,,,,,,GTEX-183WM-1926-SM-72D5F,,,,,,,,,,,,
8003,,,,,,,,,,,,,,,,,,,GTEX-18A7A-2626-SM-7LG6L,,,,,,,,,,,,
8031,,,,,,,,,,,,,,,,,,,GTEX-18D9A-0826-SM-718C1,,,,,,,,,,,,
8146,,,,,,,,,,,,,,,,,,,GTEX-1A32A-2726-SM-73KVU,,,,,,,,,,,,
8243,,,,,,,,,,,,,,,,,,,GTEX-1A8FM-2226-SM-7PC1C,,,,,,,,,,,,
8307,,,,,,,,,,,,,,,,,,,GTEX-1AMEY-0926-SM-72D6G,,,,,,,,,,,,
8333,,,,,,,,,,,,,,,,,,,GTEX-1AMFI-1426-SM-731EL,,,,,,,,,,,,
8732,,,,,,,,,,,,,,,,,,,GTEX-1B933-2126-SM-7MGXR,,,,,,,,,,,,
8896,,,,,,,,,,,,,,,,,,,GTEX-1C475-0426-SM-7P8OU,,,,,,,,,,,,
9148,,,,,,,,,,,,,,,,,,,GTEX-1CAMS-2126-SM-7MXTF,,,,,,,,,,,,
9572,,,,,,,,,,,,,,,,,,,GTEX-1EWIQ-2226-SM-7MGXJ,,,,,,,,,,,,
9638,,,,,,,,,,,,,,,,,,,GTEX-1F48J-2326-SM-7MKG3,,,,,,,,,,,,
9662,,,,,,,,,,,,,,,,,,,GTEX-1F52S-2226-SM-7MXVE,,,,,,,,,,,,
9706,,,,,,,,,,,,,,,,,,,GTEX-1F5PL-1626-SM-7MXTY,,,,,,,,,,,,
9774,,,,,,,,,,,,,,,,,,,GTEX-1F6RS-2726-SM-7MKHA,,,,,,,,,,,,
9898,,,,,,,,,,,,,,,,,,,GTEX-1F88E-2026-SM-7MXVP,,,,,,,,,,,,
9917,,,,,,,,,,,,,,,,,,,GTEX-1F88F-2126-SM-9KNUK,,,,,,,,,,,,
10047,,,,,,,,,,,,,,,,,,,GTEX-1GF9X-2426-SM-7SB7W,,,,,,,,,,,,
10221,,,,,,,,,,,,,,,,,,,GTEX-1GN1U-2326-SM-9MQK4,,,,,,,,,,,,
10261,,,,,,,,,,,,,,,,,,,GTEX-1GN1W-1426-SM-9JGHP,,,,,,,,,,,,
10507,,,,,,,,,,,,,,,,,,,GTEX-1GZHY-2426-SM-9JGGK,,,,,,,,,,,,
10556,,,,,,,,,,,,,,,,,,,GTEX-1H1CY-1926-SM-9WG7X,,,,,,,,,,,,
10729,,,,,,,,,,,,,,,,,,,GTEX-1H2FU-2326-SM-9WG7R,,,,,,,,,,,,
10911,,,,,,,,,,,,,,,,,,,GTEX-1HBPH-2726-SM-A96TW,,,,,,,,,,,,
11113,,,,,,,,,,,,,,,,,,,GTEX-1HCUA-1326-SM-9WPP6,,,,,,,,,,,,
11333,,,,,,,,,,,,,,,,,,,GTEX-1HSGN-2426-SM-C1YRI,,,,,,,,,,,,
11527,,,,,,,,,,,,,,,,,,,GTEX-1I1CD-2026-SM-A8NA4,,,,,,,,,,,,
11753,,,,,,,,,,,,,,,,,,,GTEX-1I4MK-1526-SM-CE6T1,,,,,,,,,,,,
11816,,,,,,,,,,,,,,,,,,,GTEX-1ICG6-1526-SM-C1YQT,,,,,,,,,,,,
11940,,,,,,,,,,,,,,,,,,,GTEX-1IDJE-1126-SM-A96SO,,,,,,,,,,,,
12030,,,,,,,,,,,,,,,,,,,GTEX-1IDJU-1126-SM-A9G2S,,,,,,,,,,,,
12065,,,,,,,,,,,,,,,,,,,GTEX-1IE54-2126-SM-A8N97,,,,,,,,,,,,
12155,,,,,,,,,,,,,,,,,,,GTEX-1IKOE-2326-SM-A8N99,,,,,,,,,,,,
12288,,,,,,,,,,,,,,,,,,,GTEX-1J1OQ-1626-SM-CE6TB,,,,,,,,,,,,
12363,,,,,,,,,,,,,,,,,,,GTEX-1J8JJ-0826-SM-AHZ3F,,,,,,,,,,,,
12773,,,,,,,,,,,,,,,,,,,GTEX-1JN1M-2126-SM-D4P2X,,,,,,,,,,,,
12819,,,,,,,,,,,,,,,,,,,GTEX-1JN76-1426-SM-AHZ4F,,,,,,,,,,,,
12888,,,,,,,,,,,,,,,,,,,GTEX-1K9T9-2426-SM-DHXKT,,,,,,,,,,,,
12965,,,,,,,,,,,,,,,,,,,GTEX-1KANC-1026-SM-D3LAA,,,,,,,,,,,,
13223,,,,,,,,,,,,,,,,,,,GTEX-1LGOU-1026-SM-DHXL4,,,,,,,,,,,,
13262,,,,,,,,,,,,,,,,,,,GTEX-1LGRB-2326-SM-CNNPU,,,,,,,,,,,,
13296,,,,,,,,,,,,,,,,,,,GTEX-1LKK1-1626-SM-EVR4Y,,,,,,,,,,,,
13311,,,,,,,,,,,,,,,,,,,GTEX-1LNCM-0926-SM-DHXK5,,,,,,,,,,,,
13402,,,,,,,,,,,,,,,,,,,GTEX-1LVAM-1826-SM-DHXKR,,,,,,,,,,,,
13429,,,,,,,,,,,,,,,,,,,GTEX-1LVAN-2726-SM-CNPQG,,,,,,,,,,,,
13493,,,,,,,,,,,,,,,,,,,GTEX-1MA7W-1426-SM-EV7A1,,,,,,,,,,,,
13525,,,,,,,,,,,,,,,,,,,GTEX-1MCC2-1026-SM-EVR5I,,,,,,,,,,,,
13855,,,,,,,,,,,,,,,,,,,GTEX-1OJC4-2026-SM-E6CQW,,,,,,,,,,,,
13900,,,,,,,,,,,,,,,,,,,GTEX-1PBJI-2026-SM-DPRYF,,,,,,,,,,,,
13953,,,,,,,,,,,,,,,,,,,GTEX-1PIEJ-1626-SM-E6CP9,,,,,,,,,,,,
14162,,,,,,,,,,,,,,,,,,,GTEX-1QEPI-2726-SM-DPRZ6,,,,,,,,,,,,
14200,,,,,,,,,,,,,,,,,,,GTEX-1QP28-1326-SM-DPRXZ,,,,,,,,,,,,
14279,,,,,,,,,,,,,,,,,,,GTEX-1QP67-1526-SM-E76P4,,,,,,,,,,,,
14338,,,,,,,,,,,,,,,,,,,GTEX-1QPFJ-1726-SM-EXOJU,,,,,,,,,,,,
14515,,,,,,,,,,,,,,,,,,,GTEX-1R9PN-0626-SM-E6CR9,,,,,,,,,,,,
14632,,,,,,,,,,,,,,,,,,,GTEX-1RDX4-0826-SM-E9TK7,,,,,,,,,,,,
14760,,,,,,,,,,,,,,,,,,,GTEX-1S5ZU-2326-SM-EAZ5B,,,,,,,,,,,,
15254,,,,,,,,,,,,,,,,,,,GTEX-OHPK-2426-SM-3MJGH,,,,,,,,,,,,
15283,,,,,,,,,,,,,,,,,,,GTEX-OHPL-2426-SM-48TDN,,,,,,,,,,,,
15800,,,,,,,,,,,,,,,,,,,GTEX-P4PP-2426-SM-3P61L,,,,,,,,,,,,
15903,,,,,,,,,,,,,,,,,,,GTEX-P4QT-2426-SM-3NMCL,,,,,,,,,,,,
15936,,,,,,,,,,,,,,,,,,,GTEX-P78B-1926-SM-3P616,,,,,,,,,,,,
15970,,,,,,,,,,,,,,,,,,,GTEX-PLZ4-2826-SM-3P617,,,,,,,,,,,,
16052,,,,,,,,,,,,,,,,,,,GTEX-POMQ-1426-SM-3P61D,,,,,,,,,,,,
16203,,,,,,,,,,,,,,,,,,,GTEX-PWCY-1326-SM-48TCU,,,,,,,,,,,,
16246,,,,,,,,,,,,,,,,,,,GTEX-PWN1-2426-SM-48TDD,,,,,,,,,,,,
16297,,,,,,,,,,,,,,,,,,,GTEX-PWOO-1726-SM-48TDC,,,,,,,,,,,,
16339,,,,,,,,,,,,,,,,,,,GTEX-PX3G-2426-SM-48TZZ,,,,,,,,,,,,
16482,,,,,,,,,,,,,,,,,,,GTEX-Q734-0726-SM-48TZP,,,,,,,,,,,,
16516,,,,,,,,,,,,,,,,,,,GTEX-QCQG-1426-SM-48U22,,,,,,,,,,,,
16576,,,,,,,,,,,,,,,,,,,GTEX-QDT8-2226-SM-EZ6LT,,,,,,,,,,,,
17003,,,,,,,,,,,,,,,,,,,GTEX-QVJO-3126-SM-4R1KC,,,,,,,,,,,,
17004,,,,,,,,,,,,,,,,,,,GTEX-QVJO-3126-SM-COH22,,,,,,,,,,,,
17264,,,,,,,,,,,,,,,,,,,GTEX-R55G-1526-SM-48FER,,,,,,,,,,,,
17433,,,,,,,,,,,,,,,,,,,GTEX-RTLS-2326-SM-46MUH,,,,,,,,,,,,
17453,,,,,,,,,,,,,,,,,,,GTEX-RU1J-0826-SM-46MUU,,,,,,,,,,,,
17508,,,,,,,,,,,,,,,,,,,GTEX-RU72-2226-SM-46MUE,,,,,,,,,,,,
17637,,,,,,,,,,,,,,,,,,,GTEX-RWS6-1026-SM-47JXD,,,,,,,,,,,,
17703,,,,,,,,,,,,,,,,,,,GTEX-S32W-1226-SM-4AD67,,,,,,,,,,,,
17771,,,,,,,,,,,,,,,,,,,GTEX-S341-0726-SM-4AD5R,,,,,,,,,,,,
17837,,,,,,,,,,,,,,,,,,,GTEX-S4P3-0926-SM-4AD54,,,,,,,,,,,,
17894,,,,,,,,,,,,,,,,,,,GTEX-S4UY-1026-SM-4AD53,,,,,,,,,,,,
18013,,,,,,,,,,,,,,,,,,,GTEX-S7SF-1326-SM-4AD4P,,,,,,,,,,,,
18163,,,,,,,,,,,,,,,,,,,GTEX-SN8G-2426-SM-EVR31,,,,,,,,,,,,
18268,,,,,,,,,,,,,,,,,,,GTEX-T2IS-2026-SM-4DM6W,,,,,,,,,,,,
18346,,,,,,,,,,,,,,,,,,,GTEX-T5JW-0426-SM-4DM7M,,,,,,,,,,,,
18424,,,,,,,,,,,,,,,,,,,GTEX-T6MO-1126-SM-4DM5D,,,,,,,,,,,,
18509,,,,,,,,,,,,,,,,,,,GTEX-TML8-0926-SM-4DXSJ,,,,,,,,,,,,
18543,,,,,,,,,,,,,,,,,,,GTEX-TMMY-1726-SM-4DXTD,,,,,,,,,,,,
18579,,,,,,,,,,,,,,,,,,,GTEX-TSE9-2226-SM-4DXUR,,,,,,,,,,,,
18657,,,,,,,,,,,,,,,,,,,GTEX-U3ZN-1026-SM-4DXTC,,,,,,,,,,,,
18769,,,,,,,,,,,,,,,,,,,GTEX-UJHI-1226-SM-4IHLR,,,,,,,,,,,,
18947,,,,,,,,,,,,,,,,,,,GTEX-VJWN-2926-SM-DMZ2G,,,,,,,,,,,,
19031,,,,,,,,,,,,,,,,,,,GTEX-W5WG-0926-SM-4RTX9,,,,,,,,,,,,
19082,,,,,,,,,,,,,,,,,,,GTEX-WEY5-0626-SM-4LMIA,,,,,,,,,,,,
19374,,,,,,,,,,,,,,,,,,,GTEX-WI4N-2526-SM-4OOSE,,,,,,,,,,,,
19581,,,,,,,,,,,,,,,,,,,GTEX-WWYW-2726-SM-4MVOP,,,,,,,,,,,,
19601,,,,,,,,,,,,,,,,,,,GTEX-WXYG-1426-SM-4ONCK,,,,,,,,,,,,
19661,,,,,,,,,,,,,,,,,,,GTEX-WYBS-2426-SM-4ONDI,,,,,,,,,,,,
19714,,,,,,,,,,,,,,,,,,,GTEX-WYVS-1526-SM-4OND4,,,,,,,,,,,,
19783,,,,,,,,,,,,,,,,,,,GTEX-X15G-1726-SM-4PQZN,,,,,,,,,,,,
19854,,,,,,,,,,,,,,,,,,,GTEX-X4EO-2426-SM-4QASD,,,,,,,,,,,,
20061,,,,,,,,,,,,,,,,,,,GTEX-X8HC-2726-SM-46MUA,,,,,,,,,,,,
20262,,,,,,,,,,,,,,,,,,,GTEX-XMD3-2326-SM-4AT5H,,,,,,,,,,,,
20433,,,,,,,,,,,,,,,,,,,GTEX-XUJ4-1326-SM-4BOQ9,,,,,,,,,,,,
20452,,,,,,,,,,,,,,,,,,,GTEX-XUW1-0126-SM-4BOOQ,,,,,,,,,,,,
20493,,,,,,,,,,,,,,,,,,,GTEX-XUZC-1026-SM-4BOPY,,,,,,,,,,,,
20522,,,,,,,,,,,,,,,,,,,GTEX-XV7Q-1426-SM-4BRWA,,,,,,,,,,,,
20589,,,,,,,,,,,,,,,,,,,GTEX-XYKS-1726-SM-4E3IO,,,,,,,,,,,,
20645,,,,,,,,,,,,,,,,,,,GTEX-Y114-1726-SM-4TT7U,,,,,,,,,,,,
20708,,,,,,,,,,,,,,,,,,,GTEX-Y3IK-2026-SM-4YCDG,,,,,,,,,,,,
20951,,,,,,,,,,,,,,,,,,,GTEX-YB5K-1426-SM-5IFIB,,,,,,,,,,,,
21135,,,,,,,,,,,,,,,,,,,GTEX-YFC4-2726-SM-5IFJW,,,,,,,,,,,,
21207,,,,,,,,,,,,,,,,,,,GTEX-YJ8O-1026-SM-5CVM5,,,,,,,,,,,,
21208,,,,,,,,,,,,,,,,,,,GTEX-YJ8O-1026-SM-DMRPU,,,,,,,,,,,,
21209,,,,,,,,,,,,,,,,,,,GTEX-YJ8O-1026-SM-DMZ3B,,,,,,,,,,,,
21374,,,,,,,,,,,,,,,,,,,GTEX-ZAJG-2726-SM-5S2MU,,,,,,,,,,,,
21424,,,,,,,,,,,,,,,,,,,GTEX-ZC5H-2026-SM-5CVN2,,,,,,,,,,,,
21842,,,,,,,,,,,,,,,,,,,GTEX-ZLWG-0926-SM-4WWC3,,,,,,,,,,,,
21869,,,,,,,,,,,,,,,,,,,GTEX-ZP4G-0626-SM-4WWF1,,,,,,,,,,,,
21931,,,,,,,,,,,,,,,,,,,GTEX-ZPIC-1426-SM-4WWCP,,,,,,,,,,,,
22223,,,,,,,,,,,,,,,,,,,GTEX-ZV6S-1426-SM-59HKX,,,,,,,,,,,,
22303,,,,,,,,,,,,,,,,,,,GTEX-ZVT2-0326-SM-5E44G,,,,,,,,,,,,
22346,,,,,,,,,,,,,,,,,,,GTEX-ZVT3-2626-SM-5GU5L,,,,,,,,,,,,
22448,,,,,,,,,,,,,,,,,,,GTEX-ZXES-0526-SM-5E45D,,,,,,,,,,,,
22560,,,,,,,,,,,,,,,,,,,GTEX-ZYFG-1726-SM-5GZZB,,,,,,,,,,,,
22649,,,,,,,,,,,,,,,,,,,GTEX-ZYWO-1926-SM-5E456,,,,,,,,,,,,
22674,,,,,,,,,,,,,,,,,,,GTEX-ZYY3-2726-SM-5EGH4,,,,,,,,,,,,
22729,,,,,,,,,,,,,,,,,,,GTEX-ZZPU-2126-SM-5EGIU,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1117F-2426-SM-5EGGH,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-113JC-2226-SM-5EGJG,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11DXX-1526-SM-5H115,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11EM3-1926-SM-5987U,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11EMC-1826-SM-5A5JT,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11GSP-2426-SM-5N9BD,
698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11I78-2126-SM-5A5K8,
951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11P81-1626-SM-5BC52,
1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11ZTS-2326-SM-5EQMY,
1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-11ZTT-1726-SM-5EQL4,
1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1269C-2026-SM-DK2JN,
1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1269C-2026-SM-DLIOA,
1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-12WSD-2826-SM-59HKT,
1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-12WSG-2126-SM-5EGJ7,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-12WSK-2026-SM-5CVNB,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-12ZZX-2126-SM-5LZVL,
2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1313W-2826-SM-5P9G1,
2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-131XG-2026-SM-5GCN5,
2339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-131YS-2326-SM-5IJFJ,
2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-132AR-1526-SM-5KM1L,
2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-132AR-1526-SM-DLIPN,
2538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1399S-2226-SM-5IFEW,
2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1399S-2226-SM-DKTR7,
2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1399S-2226-SM-DLIPM,
2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1399U-1326-SM-5IJET,
2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1399U-1326-SM-DK2JO,
2624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-139D8-2526-SM-5N9G3,
2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13D11-1226-SM-5IFGA,
3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13FTX-1026-SM-5J2O5,
3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13N11-1126-SM-5KM41,
3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13OVI-1026-SM-5L3EM,
3749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13OVJ-2326-SM-5IJGA,
3978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13PL7-2026-SM-5IFGK,
4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13QBU-1626-SM-5LU4S,
4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13S7M-1726-SM-5RQK3,
4312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13U4I-1926-SM-5LU39,
4338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13VXT-1626-SM-5IJES,
4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-13W3W-1426-SM-5LU56,
4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-145LS-2426-SM-5TDCZ,
4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-145LS-2426-SM-EZ6XT,
4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-145ME-1326-SM-5O98Q,
4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-145ME-1326-SM-EZ6Y4,
5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14AS3-1826-SM-5TDD8,
5318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14BIM-2226-SM-5SI8Y,
5346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14BIN-1526-SM-73KZ7,
5377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14BMU-1826-SM-5RQII,
5787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14JG6-0826-SM-6AJB9,
5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14PHW-2426-SM-69LPU,
6028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14PJ6-1526-SM-6AJ9M,
6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14PJM-2826-SM-69LPV,
6174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-14PKV-1426-SM-5YYB9,
6289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15CHC-2026-SM-6EU1Z,
6451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15DCZ-2226-SM-69LOB,
6528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15DZA-1326-SM-68722,
6614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15ER7-2426-SM-793B9,
6632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15ETS-1526-SM-6LPKM,
6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15FZZ-1026-SM-6AJBI,
6679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15FZZ-1026-SM-DK2JM,
6680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-15FZZ-1026-SM-DLL3J,
7017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-16A39-0726-SM-7KUEB,
7159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-16NGA-0626-SM-72D72,
8147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1A32A-2826-SM-72D5S,
8244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1A8FM-2326-SM-7MKGC,
8304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1AMEY-0626-SM-72D6B,
8699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1B932-2726-SM-731ER,
8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1B97J-0226-SM-79392,
8898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1C475-0626-SM-73KV9,
9147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1CAMS-2026-SM-79395,
9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1CAV2-1426-SM-7MGX6,
9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1CB4H-2726-SM-7EWFF,
9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1F6RS-2926-SM-7MKG5,
9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1F88E-2126-SM-DK2JJ,
9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1F88E-2126-SM-DLL3I,
9953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GF9U-1826-SM-7P8T7,
10157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GMR8-2426-SM-7MKH3,
10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GN1U-2526-SM-7MKH4,
10260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GN1W-1326-SM-9JGHZ,
10444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GZ4H-0826-SM-9OSXK,
10508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1GZHY-2526-SM-9OSW6,
10557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1H1CY-2126-SM-9OSXV,
10912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1HBPH-2826-SM-9WYUU,
11033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1HCU6-2426-SM-A8N85,
11112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1HCUA-1226-SM-9WPP5,
11332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1HSGN-2326-SM-A9G1D,
11752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1I4MK-1426-SM-B2LWU,
11815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1ICG6-1426-SM-A96T1,
12013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1IDJI-1726-SM-C1YQE,
12156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1IKOE-2426-SM-ARU7W,
12289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1J1OQ-1726-SM-CL55N,
12431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1J8QM-1526-SM-A8N9C,
12821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1JN76-1626-SM-CNNQ3,
12889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1K9T9-2526-SM-D3L9B,
12966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1KANC-1126-SM-CY8I7,
13225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1LGOU-1226-SM-D3L8L,
13261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1LGRB-2226-SM-CNNQI,
13280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1LH75-1626-SM-EWROL,
13494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1MA7W-1526-SM-DHXKS,
13558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1MCYP-1226-SM-DTX8H,
13769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1NV5F-1726-SM-EXOIZ,
13902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1PBJI-2326-SM-E6CP6,
13954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1PIEJ-1726-SM-EVYB6,
14202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1QP28-1526-SM-E76P6,
14339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1QPFJ-1826-SM-EWRMS,
14437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1R9JW-1326-SM-E6CQ7,
14514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1R9PN-0526-SM-DTX86,
14631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTEX-1RDX4-0726-SM-E8VO8,
