,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
501,,,,GTEX-11EMC-0002-SM-5Q5DO,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,GTEX-11EMC-0004-SM-58Q8T,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,,,GTEX-11EMC-0004-SM-5DWTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,,,,GTEX-11EMC-0004-SM-6WBUA,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,GTEX-11EMC-0006-SM-5O9DN,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,,,GTEX-11EQ8-0001-SM-58Q82,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,,,GTEX-11EQ8-0001-SM-5DWSU,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,GTEX-11EQ8-0001-SM-6WBTP,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,,,,GTEX-11EQ8-0006-SM-5P9HJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,GTEX-11EQ9-0002-SM-5QGQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,GTEX-11EQ9-0003-SM-58Q7V,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,GTEX-11EQ9-0003-SM-5DWSP,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,GTEX-11EQ9-0003-SM-6WBTK,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,GTEX-11EQ9-0006-SM-5LUB6,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,GTEX-11GS4-0004-SM-58Q7W,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,GTEX-11GS4-0004-SM-5DWSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,GTEX-11GS4-0004-SM-6WBTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,GTEX-11GS4-0006-SM-5SI9M,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,GTEX-11GSO-0003-SM-58Q84,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,GTEX-11GSO-0003-SM-5DWSW,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,GTEX-11GSO-0003-SM-6WBTR,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,GTEX-11GSO-0005-SM-5O9CA,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,GTEX-11GSP-0004-SM-58Q83,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,,,,GTEX-11GSP-0004-SM-5DWSV,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,GTEX-11GSP-0004-SM-6WBTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,GTEX-11GSP-0006-SM-5N9EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,GTEX-11I78-0001-SM-5Q5BE,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,,,,GTEX-11I78-0002-SM-58Q8G,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,,,GTEX-11I78-0002-SM-5DWT9,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,,GTEX-11I78-0002-SM-6WBU2,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,,,,GTEX-11I78-0005-SM-5N9GB,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,,,,GTEX-11ILO-0002-SM-5CV9V,,,,,,,,,,,,,,,,,,,,,,,,,,,
